"cancel","cancel","pf"," He must cancel the tea-date with Christine, now only six hours ahead."
"rehouse","rehoused","pf"," The box files have been rehoused on new shelves;"
"prepare","preparing","impf"," And as the photon storms gather in swirling crowds around us, preparing to tear apart the last of the red hot suns, I know you ’ re all going to settle back and enjoy with me what I know we will find all an immensely exciting and terminal experience. ”"
"recline","reclined","impf"," Half pairs of socks reclined in half-drunk cups of coffee."
"govern","governed","impf"," The Frenchman directed his hirelings to the north across the Austrian border, and the Austrian sent his south, towards Dalmatia, which was governed by the French."
"mince","minced","pf"," The lawyer who 'd not minced a single word-who 'd laced virtually every one of them with a cautionary sarcasm that amounted to outright admonishment, whose purpose he would not disguise from his distinguished elderly client with a single circumlocution - came around from behind his desk to escort Coleman out of the office and then, at the doorway, went so far as to accompany him down the stairway and out onto the sunny street."
"supplant","supplanted","pf"," ( And in many of the more relaxed civilizations on the Outer Eastern Rim of the Galaxy, it has long supplanted the great Encyclopaedia Galactica as the standard repository of all knowledge and wisdom, for though it has many omissions and contains much that is apocryphal, or at least wildly inaccurate, it scores over the older and more pedestrian work in two important respects."
"tinkle","tinkling","impf"," There are shouts from outside the ballroom, and the sound of something coming clattering, crashing down the spiral of stone steps, smashing halfway down and tinkling."
"analyse","analysing","impf"," ' You are putting the cart before the horse, ' shouted Herak, analysing Stikovic 's article."
"resemble","resembled","impf"," If Arthur Dent had been within five miles of the speaker silos then his expiring thought would have been that in both size and shape the sound rig closely resembled Manhattan."
"discourage","discouraged","pf"," Mr Collins, however, was not discouraged from speaking again, and Mr Darcy 's contempt seemed abundantly increasing with the length of his second speech, and at the end of it he only made him a slight bow, and moved another way."
"oversee","overseen","impf"," This job had kept her grounded during the seven years she had overseen Jack 's healthcare."
"pretend","pretend","impf"," At this point he decided he would not wait all day after all, he would merely pretend that the last half hour hadn ’ t happened."
"rupture","ruptures","pf"," It often goes undiagnosed because there are no symptoms until it ruptures, and then it 's usually too late."
"wreck","wrecked","pf"," My lawyer is confident she can convince a judge that your actions have wrecked us financially."
"proffer","proffered","pf"," He proffered the fish again."
"pick","picked","pf"," From the table he picked up a cigarette and lit it with a spill from the stove."
"afflict","afflicted","impf"," These indignant thoughts afflicted her until she was almost at her own ward when she remembered the men with crutches downstairs, waiting to be brought up in the lift."
"constrict","constricted","pf"," Her throat had constricted, as though every blood vessel leading from her heart had converged there."
"reproach","reproached","impf"," It was a bit rough to be reproached for hankering after what he 'd voluntarily turned down."
"fluctuate","fluctuated","impf"," Beside that, the troops head-count reported from the individual cars at the last station fluctuated when compared against the number given after mustering the cars in at the Budějovice railroad station."
"kidnap","kidnapped","pf"," “ But the intruder kidnapped four cardinals."
"reposition","repositioned","pf"," The chief inspector repositioned himself to block Teabing 's progress away from the plane."
"warrant","warrant","impf"," Nothing to warrant a 160-page conspiracy indictment."
"calculate","calculate","pf"," For instance, a race of hyperintelligent pan-dimensional beings once built themselves a gigantic supercomputer called Deep Thought to calculate once and for all the Answer to the Ultimate Question of Life, the Universe, and Everything."
"authorize","authorize","pf"," "" Sarge would n't authorize surveillance on him."
"conceal","concealed","pf"," The corridor they were concealed in was not like the others."
"groom","groomed","impf"," He 'd held the top sales record for several consecutive years, and it was no secret that he was being groomed for management."
"sniff","sniffed","impf"," He sniffed the air and thought for an instant that maybe he smelled something."
"possess","possessed","impf"," It was just as well that her married status put her beyond his ambition, since even their friendship demanded reserves of an attention, of a sort of mental and emotional integrity he was n't sure he really possessed."
"coincide","coincided","impf"," I had hoped that our sentiments coincided in every particular, but I must so far differ from you as to think our two youngest daughters uncommonly foolish. '"
"require","required","impf"," He didn ’ t need to do this since his body was supplied with the peculiar assortment of gases it required for survival from a small intravenous device strapped to his leg."
"scratch","scratches","pf"," He blanked out the chicken scratches of the legitimate physician with typist 's correction fluid and photocopied the blank prescription form."
"devise","devise","pf"," I ought to shout and scream and curse, hurl imprecations at these fools, at least disturb the wretches ’ sleep on my last night, but I fear what other torture they might devise if I annoy them so, for from what I ’ ve heard and read and seen, the brutalised man, so deficient in every other type of imagination, displays a fine resourcefulness when it comes to concocting ingenious ways to hurt."
"click","clicked","pf"," As she clicked the SEARCH button, she could feel the hum of the massive mainframe downstairs scanning data at a rate of 500 MB/ sec."
"clutch","clutching","impf"," And dropping the long skirt of her dress, which she had been clutching tightly until then, she sank to the ground."
"temper","tempered","pf"," You will find her manners beyond any thing I can describe; and your wit and vivacity I think must be acceptable to her, especially when tempered with the silence and respect which her rank will inevitably excite."
"evacuate","EVACUATE","pf"," EVACUATE THE DAMN VATICAN!"
