"heard","hear","Slyšel","slyšet","impf"," He heard Becky ’ s door open."," Slyšel, jak Becky nahoře otevírá ..."
"thought","think","Myslel","myslet","impf"," “ I thought you ’ d be raring to get to your skating lesson."," "" Myslel jsem, že se už nebudeš moct dočkat, abys byla na kluzišti."
"got","get","zůstal","zůstat","pf"," He organized the cooking by rotation so that all the burgers got the same amount of grill time."," Vkládal je na gril postupně a v témž pořadí je zase odebíral, takže každý hamburger na něm zůstal stejně dlouho."
"turned","turn","otočil","otočit","pf"," To fill the most recent wave of orders, Paul turned around and opened the refrigerator behind him."," Aby mohl pokračovat s další sérií objednávek, otočil se a otevřel dvířka lednice, která stála za ním."
"opened","open","otevřel","otevřít","pf"," To fill the most recent wave of orders, Paul turned around and opened the refrigerator behind him."," Aby mohl pokračovat s další sérií objednávek, otočil se a otevřel dvířka lednice, která stála za ním."
"spoke","speak","Mluvila","mluvit","impf"," She spoke quietly."," Mluvila téměř šeptem."
"said","say","odpověděl","odpovědět","pf"," “ I guess, ” Kim said."," "" Jakž takž, "" odpověděl."
"took","take","odebral","odebrat","pf"," Kim took her coat and rain hat."," Kim jí odebral kabát a nepromokavý klobouk."
"hope","hope","doufám","doufat","impf"," “ I hope you don ’ t mind my coming over here like this, ” Tracy said."," "" Nevadí ti doufám, že jsem tě takhle přepadla. """
"broke","break","zlomil","zlomit","pf"," Kim ’ s voice broke, and he looked away for a moment."," Hlas se mu zlomil a na okamžik uhnul očima stranou."
"followed","follow","sledoval","sledovat","impf"," Continuing his cleaning efforts, Kim followed the head conveyer into an adjoining room."," Kim jednu hlavu sledoval do vedlejší místnosti."
"attacked","attack","zaútočil","zaútočit","pf"," He immediately recognized the room as the place where he ’ d been attacked Saturday night."," Tu ihned identifikoval jako místo, kde na něj ten zběsilec v sobotu večer poprvé zaútočil."
"talking","talk","Mluvil","mluvit","impf"," I was talking with her by phone when someone surprised her."," Mluvil jsem s ní po telefonu, když ji tady někdo překvapil."
"surprised","surprise","překvapil","překvapit","pf"," I was talking with her by phone when someone surprised her."," Mluvil jsem s ní po telefonu, když ji tady někdo překvapil."
"pressed","press","tiskla","tisknout","impf"," Tracy was standing off to the side, a hand pressed to her mouth."," Tracy stála stranou a tiskla si ruku na ústa."
"stop","stop","přestaly","přestat","pf"," Then he heard the machinery suddenly stop."," A pak stroje vzadu za ním náhle přestaly pracovat."
"see","see","podívám","podívat","pf"," “ Let me see that, ” he said."," "" Ukažte, já se podívám, "" požádal."
"said","say","odpověděla","odpovědět","pf"," “ What we inspectors always do, ” Marsha said, feigning irritation."," "" Moje inspektorské povinnosti, "" odpověděla s předstíraným podrážděním."
"followed","follow","dodržují","dodržovat","impf"," “ I ’ m making sure federal rules are being followed. ”"," "" Chci se přesvědčit, jestli se tady dodržují příslušné federální předpisy."
"enter","enter","vejít","vejít","pf"," The man finally backed up enough to allow Marsha to enter."," Strážný pak konečně poodstoupil, takže mohla vejít dovnitř."
"blurted","blurt","vyhrkla","vyhrknout","pf"," “ She ’ s worse, ” she blurted."," "" Je jí pořád hůř, "" vyhrkla."
"stay","stay","zůstaň","zůstat","pf"," You stay put. ”"," Ty tady zůstaň sedět. """
"want","want","chci","chtít","impf"," “ But I want to fix my own burger, ” Becky said."," "" Ale já si chci na ten hamburger ještě něco dát, "" upozornila ho Becky."
"forgot","forget","Zapomněl","zapomenout","pf"," “ I forgot. ”"," "" Zapomněl jsem. """
"picked","pick","vybral","vybrat","pf"," While Becky dressed her burger with an impressive layer of various toppings, Kim picked out what he hoped would be the least offensive salad dressing."," Zatímco si Becky pančala na hamburger úctyhodné vrstvy všeho možného, vybral si Kim co na svůj salát dresink, který vypadal nejneškodněji."
"dictating","dictate","diktoval","diktovat","impf"," By six he was already in his office dictating consult letters and writing checks for various expenses."," V šest hodin ráno seděl už Kim v ordinaci, diktoval lékařské zprávy a vyplňoval šeky na různé finanční úhrady."
"met","meet","sešel","sejít","pf"," After that, Kim met with the thoracic surgery fellows he supervised, then on to surgical grand rounds."," Po ní se sešel se sekundáři z hrudní chirurgie, kterým šéfoval, a pak na chirurgii absolvoval velkou vizitu."
"learn","learn","dozvědět","dozvědět","pf"," He had to learn what he could about E. coli O157:H7 and HUS."," Rozhodl se, že se o E. coli O157 : H7 a o HUSu musí dozvědět co nejvíc."
"looked","look","podíval","podívat","pf"," Kim looked at Becky and shuddered."," Kim se podíval na Becky a celým jeho tělem projelo zachvění."
"taken","take","odebrali","odebrat","pf"," After the coats had been taken, Gladys and Hazel, Daryl ’ s wife, strolled into the thick of the party."," Když hostům odebrali kabáty, šly se Gladys Sorensenová a Darylova žena Hazel připojit ke společnosti."
"held","hold","zadržel","zadržet","pf"," Bobby Bo held back Everett and Daryl."," Everetta a Daryla Bobby Bo zadržel."
"said","say","řekl","říci","pf"," “ We ’ ll have a short meeting in my library, ” Bobby Bo said."," "" Nejdřív si u mě v knihovně uděláme malou poradu, "" řekl."
"said","say","neřekl","říci","pf"," He ’ d not said a word to Tom."," Tomovi neřekl ani slovo."
"believe","believe","Věřil","věřit","impf"," “ Can you believe it?"," Věřil bys tomu?"
"find","find","najdou","najít","pf"," My ex told her where to find me. ”"," A kde mě najdou, to jim řekla moje bývalá žena. """
"told","tell","řekla","říci","pf"," My ex told her where to find me. ”"," A kde mě najdou, to jim řekla moje bývalá žena. """
"survive","survive","nepřežily","přežít","pf"," “ Hudson Meat management didn ’ t survive their run with the bug."," Hudson Foods ten svůj průser s touhle bakterií taky nepřežily."
"do","do","dělat","dělat","impf"," But what can we do? ”"," Ale co proti tomu můžem dělat? """
"said","say","prohlásil","prohlásit","pf"," “ We ’ ve got to do damage control, ” Jack said."," "" Přijmout příslušná protiopatření, "" prohlásil Jack."
"resulted","result","vyplýval","vyplývat","impf"," The apparent chaos resulted from the conclusion of the intermediate lesson and the imminent commencement of the advanced lesson."," Zdánlivý chaos vyplýval ze skutečnosti, že právě skončila lekce pro středně pokročilé a v příští chvíli měl začít trénink pokročilých."
"Seeing","see","uviděla","uvidět","pf"," Seeing her daughter ’ s bright red outfit, Kelly waved and called out."," Kelly uviděla světle červené šatičky své dcerky a zavolala na ni."
"called","call","zavolala","zavolat","pf"," Seeing her daughter ’ s bright red outfit, Kelly waved and called out."," Kelly uviděla světle červené šatičky své dcerky a zavolala na ni."
"waved","wave","zamávala","zamávat","pf"," Caroline Anderson waved back and skated over."," Caroline jí zamávala zpátky a zajela k mantinelu."
"expected","expect","očekával","očekávat","impf"," It was a far bigger plant than he ’ d expected."," Byl to mnohem větší podnik, než očekával."
"parked","park","zaparkoval","zaparkovat","pf"," Kim parked in a visitor space."," Kim zaparkoval v prostoru vyhrazeném pro návštěvníky."
"lose","lose","ztratit","ztratit","pf"," As he walked toward the entrance, he reminded himself not to lose his temper."," Cestou k vrátnici si umiňoval, že tady nesmí ztratit nervy."
"processed","process","zpracovat","zpracovat","pf"," With none of his day employees having called in sick, Jed was confident that close to two thousand head would be processed by lunch."," Byl přesvědčen, že se jim za dopoledne podaří porazit a zpracovat možná až dva tisíce kusů."
"Wanting","want","Potřeboval","potřebovat","impf"," Wanting to catch up on his paperwork, he ’ d retreated to his office with a cup of coffee and went to work."," Potřeboval dorazit nějaké papírování, a tak se s šálkem kávy usadil ve své kanceláři."
"working","work","Nepracoval","pracovat","impf"," Jed hadn ’ t been working long when his phone rang."," Nepracoval dlouho, když mu na stole zadrnčel telefon."
"meant","mean","myslela","myslet","impf"," He could tell what Tracy had meant."," Pochopil, jak to Tracy v tom telefonu myslela."
"talk","talk","Promluvím","promluvit","pf"," “ I ’ m going to talk to Mom, ” Kim said."," "" Promluvím si s mámou, "" řekl."
